,fare,name_from,name_to,node_from,node_to,key,
228,252,South Hayward,West Oakland,15528,15510,1551015528,15528   15510   252  ;South Hayward to West Oakland
229,360,South Hayward,Embarcadero,15528,15511,1551115528,15528   15511   360  ;South Hayward to Embarcadero
230,360,South Hayward,Montgomery,15528,15512,1551215528,15528   15512   360  ;South Hayward to Montgomery
231,360,South Hayward,Powell,15528,15513,1551315528,15528   15513   360  ;South Hayward to Powell
232,360,South Hayward,Civic Center,15528,15514,1551415528,15528   15514   360  ;South Hayward to Civic Center
233,364,South Hayward,16th St Mission,15528,15515,1551515528,15528   15515   364  ;South Hayward to 16th St Mission
234,367,South Hayward,24th St Mission,15528,15516,1551615528,15528   15516   367  ;South Hayward to 24th St Mission
235,378,South Hayward,Glen Park,15528,15517,1551715528,15528   15517   378  ;South Hayward to Glen Park
236,385,South Hayward,Balboa Park,15528,15518,1551815528,15528   15518   385  ;South Hayward to Balboa Park
237,392,South Hayward,Daly City,15528,15519,1551915528,15528   15519   392  ;South Hayward to Daly City
238,388,South Hayward,Colma,15528,15539,1552815539,15528   15539   388  ;South Hayward to Colma
239,402,South Hayward,South San Francisco,15528,15540,1552815540,15528   15540   402  ;South Hayward to South San Francisco
240,420,South Hayward,San Bruno,15528,15541,1552815541,15528   15541   420  ;South Hayward to San Bruno
241,731,South Hayward,SFO,15528,15542,1552815542,15528   15542   731  ;South Hayward to SFO
242,441,South Hayward,Millbrae,15528,15543,1552815543,15528   15543   441  ;South Hayward to Millbrae
243,129,Hayward,Bay Fair,15529,15530,1552915530,15529   15530   129  ;Hayward to Bay Fair
244,129,Hayward,San Leandro,15529,15531,1552915531,15529   15531   129  ;Hayward to San Leandro
245,171,Hayward,Coliseum/Oakland Airport,15529,15532,1552915532,15529   15532   171  ;Hayward to Coliseum/Oakland Airport
246,192,Hayward,Fruitvale,15529,15533,1552915533,15529   15533   192  ;Hayward to Fruitvale
247,224,Hayward,Lake Merritt,15529,15534,1552915534,15529   15534   224  ;Hayward to Lake Merritt
248,287,Hayward,Richmond,15529,15520,1552015529,15529   15520   287  ;Hayward to Richmond
249,273,Hayward,El Cerrito Del Norte,15529,15521,1552115529,15529   15521   273  ;Hayward to El Cerrito Del Norte
250,262,Hayward,El Cerrito Plaza,15529,15522,1552215529,15529   15522   262  ;Hayward to El Cerrito Plaza
